1776724593.111460000,0x0012,7112,,60,0,1
1776724593.111517000,0x0010,47814,0.000057000,52,1,1
1776724593.111615000,0x0018,47814,,89,1,1
1776724593.176665000,0x0010,7112,0.065050000,52,1,38
1776724593.176688000,0x0018,7112,,53,1,38
1776724593.176733000,0x0010,47814,0.000045000,52,38,2
1776724593.176832000,0x0018,47814,,56,38,2
1776724593.176858000,0x0018,47814,,196,42,2
1776724593.241882000,0x0010,7112,0.065024000,52,2,186
1776724593.241906000,0x0018,7112,,53,2,186
1776724593.242149000,0x0002,47816,,60,0,0
1776724593.282417000,0x0010,47814,0.040511000,52,186,3
1776724593.309514000,0x0012,7112,0.067365000,60,0,1
1776724593.309562000,0x0010,47816,0.000048000,52,1,1
1776724593.309669000,0x0018,47816,,89,1,1
1776724593.375709000,0x0010,7112,0.066040000,52,1,38
1776724593.378485000,0x0018,7112,,53,3,186
1776724593.378538000,0x0010,47814,0.000053000,52,186,4
1776724593.378568000,0x0018,7112,,53,4,186
1776724593.378582000,0x0010,47814,0.000014000,52,186,5
1776724593.378941000,0x0010,47816,,1500,38,1
1776724593.378973000,0x0018,47816,,1500,1486,1
1776724593.379023000,0x0010,47816,,1500,2934,1
1776724593.379030000,0x0018,47816,,1500,4382,1
1776724593.379049000,0x0010,47816,,1500,5830,1
1776724593.379054000,0x0018,47816,,1500,7278,1
1776724593.379076000,0x0010,47816,,1500,8726,1
1776724593.379083000,0x0018,47816,,1500,10174,1
1776724593.379108000,0x0010,47816,,1500,11622,1
1776724593.379116000,0x0018,47816,,1500,13070,1
1776724593.385065000,0x0010,47816,,1500,14518,1
1776724593.444662000,0x0010,7112,0.065721000,52,1,1486
1776724593.444791000,0x0010,47816,,1500,15966,1
1776724593.444814000,0x0018,47816,,1500,17414,1
1776724593.444836000,0x0010,7112,0.065863000,52,1,2934
1776724593.444902000,0x0010,7112,0.065879000,52,1,4382
1776724593.445030000,0x0010,7112,0.066000000,52,1,5830
1776724593.447061000,0x0010,7112,0.068012000,52,1,7278
1776724593.447129000,0x0010,7112,0.068075000,52,1,8726
1776724593.447193000,0x0010,7112,0.068117000,52,1,10174
1776724593.447253000,0x0010,7112,0.068170000,52,1,11622
1776724593.447314000,0x0010,7112,0.068206000,52,1,13070
1776724593.447443000,0x0010,7112,0.068327000,52,1,14518
1776724593.447541000,0x0010,47816,,1500,18862,1
1776724593.447562000,0x0018,47816,,1500,20310,1
1776724593.450690000,0x0010,47816,,1500,21758,1
1776724593.450708000,0x0018,47816,,1500,23206,1
1776724593.453813000,0x0010,47816,,1500,24654,1
1776724593.453819000,0x0018,47816,,1500,26102,1
1776724593.454428000,0x0010,7112,0.069363000,52,1,15966
1776724593.456947000,0x0010,47816,,1500,27550,1
1776724593.456965000,0x0018,47816,,1500,28998,1
1776724593.459935000,0x0010,47816,,1500,30446,1
1776724593.459953000,0x0018,47816,,1500,31894,1
1776724593.462932000,0x0010,47816,,1500,33342,1
1776724593.462952000,0x0018,47816,,1500,34790,1
1776724593.465913000,0x0010,47816,,1500,36238,1
1776724593.465931000,0x0018,47816,,1500,37686,1
1776724593.468897000,0x0010,47816,,1500,39134,1
1776724593.468904000,0x0018,47816,,1500,40582,1
1776724593.471922000,0x0010,47816,,1500,42030,1
1776724593.471928000,0x0018,47816,,1500,43478,1
1776724593.474871000,0x0018,47816,,1500,44926,1
1776724593.476377000,0x0010,47816,,1500,46374,1
1776724593.538003000,0x0010,7112,0.093212000,52,1,17414
1776724593.538137000,0x0010,7112,0.093323000,52,1,18862
1776724593.542464000,0x0010,7112,0.094923000,52,1,20310
1776724593.542602000,0x0010,7112,0.095040000,52,1,21758
1776724593.548254000,0x0010,7112,0.097564000,52,1,23206
1776724593.548279000,0x0010,7112,0.097571000,52,1,24654
1776724593.554056000,0x0010,7112,0.100243000,52,1,26102
1776724593.554077000,0x0010,7112,0.100258000,52,1,27550
1776724593.558593000,0x0010,7112,0.101646000,52,1,28998
1776724593.558614000,0x0010,7112,0.101649000,52,1,30446
1776724593.564657000,0x0010,7112,0.104722000,52,1,31894
1776724593.564713000,0x0010,7112,0.104760000,52,1,33342
1776724593.564739000,0x0010,47816,,1500,47822,1
1776724593.570612000,0x0010,7112,0.107680000,52,1,34790
1776724593.570634000,0x0010,47816,,1500,49270,1
1776724593.570652000,0x0010,7112,0.107700000,52,1,36238
1776724593.576591000,0x0010,7112,0.110678000,52,1,37686
1776724593.576626000,0x0010,47816,,1500,50718,1
1776724593.576632000,0x0018,47816,,1500,52166,1
1776724593.576653000,0x0010,7112,0.110722000,52,1,39134
1776724593.582597000,0x0010,7112,0.113700000,52,1,40582
1776724593.582625000,0x0010,47816,,1500,53614,1
1776724593.582631000,0x0018,47816,,1500,55062,1
1776724593.582649000,0x0010,7112,0.113745000,52,1,42030
1776724593.586803000,0x0010,7112,0.114881000,52,1,43478
1776724593.586830000,0x0010,47816,,1500,56510,1
1776724593.586836000,0x0018,47816,,1500,57958,1
1776724593.586891000,0x0010,7112,0.114963000,52,1,44926
1776724593.589844000,0x0010,7112,0.114973000,52,1,46374
1776724593.591648000,0x0010,47816,,1500,59406,1
1776724593.591668000,0x0018,47816,,1500,60854,1
1776724593.592505000,0x0010,7112,0.116128000,52,1,47822
1776724593.597574000,0x0010,47816,,1500,62302,1
1776724593.676049000,0x0010,7112,0.111310000,52,1,49270
1776724593.676146000,0x0010,47816,,1500,63750,1
1776724593.683085000,0x0010,7112,0.112451000,52,1,50718
1776724593.683115000,0x0010,47816,,1500,65198,1
1776724593.688758000,0x0010,7112,0.112132000,52,1,52166
1776724593.688785000,0x0010,47816,,1500,66646,1
1776724593.688822000,0x0010,7112,0.112190000,52,1,53614
1776724593.690292000,0x0010,47816,,1500,68094,1
1776724593.692239000,0x0010,7112,0.109614000,52,1,55062
1776724593.692262000,0x0010,7112,0.109631000,52,1,56510
1776724593.693293000,0x0010,47816,,1500,69542,1
1776724593.693313000,0x0018,47816,,1500,70990,1
1776724593.699424000,0x0010,7112,0.112594000,52,1,57958
1776724593.699452000,0x0010,7112,0.112616000,52,1,59406
1776724593.699482000,0x0010,47816,,1500,72438,1
